"areacd","category","value"
"E07000011","Aged 16 to 64",109009
"E07000011","Aged 65+",25670
"E07000012","Aged 0 to 15",28939
"E07000012","Aged 16 to 64",93425
"E07000012","Aged 65+",23315
"E07000066","Aged 0 to 15",35369
"E07000066","Aged 16 to 64",110718
"E07000066","Aged 65+",26997
"E07000067","Aged 0 to 15",28433
"E07000067","Aged 16 to 64",93013
"E07000067","Aged 65+",23143
"E07000068","Aged 0 to 15",13686
"E07000068","Aged 16 to 64",45395
"E07000068","Aged 65+",13582
"E07000069","Aged 0 to 15",15359
"E07000069","Aged 16 to 64",54652
"E07000069","Aged 65+",18111
"E07000070","Aged 0 to 15",31282
"E07000070","Aged 16 to 64",108293
"E07000070","Aged 65+",26633
"E07000071","Aged 0 to 15",31356
"E07000071","Aged 16 to 64",111347
"E07000071","Aged 65+",26324
"E07000072","Aged 0 to 15",23017
"E07000072","Aged 16 to 64",79061
"E07000072","Aged 65+",21742
"E07000073","Aged 0 to 15",16714
"E07000073","Aged 16 to 64",51950
"E07000073","Aged 65+",12046
"E07000074","Aged 0 to 15",11179
"E07000074","Aged 16 to 64",38969
"E07000074","Aged 65+",11667
"E07000075","Aged 0 to 15",15228
"E07000075","Aged 16 to 64",51862
"E07000075","Aged 65+",16004
"E07000076","Aged 0 to 15",23074
"E07000076","Aged 16 to 64",79440
"E07000076","Aged 65+",37079
"E07000077","Aged 0 to 15",15563
"E07000077","Aged 16 to 64",48494
"E07000077","Aged 65+",12721
"E07000095","Aged 0 to 15",18568
"E07000095","Aged 16 to 64",59200
"E07000095","Aged 65+",14627
"E07000096","Aged 0 to 15",28220
"E07000096","Aged 16 to 64",91831
"E07000096","Aged 65+",22154
"E07000098","Aged 0 to 15",19999
"E07000098","Aged 16 to 64",62782
"E07000098","Aged 65+",15856
"E07000099","Aged 0 to 15",24504
"E07000099","Aged 16 to 64",79711
"E07000099","Aged 65+",21054
"E07000102","Aged 0 to 15",17511
"E07000102","Aged 16 to 64",55299
"E07000102","Aged 65+",14286
"E07000103","Aged 0 to 15",17516
"E07000103","Aged 16 to 64",58129
"E07000103","Aged 65+",10827
"E07000143","Aged 0 to 15",22992
"E07000143","Aged 16 to 64",79357
"E07000143","Aged 65+",27082
"E07000144","Aged 0 to 15",21200
"E07000144","Aged 16 to 64",76020
"E07000144","Aged 65+",26599
"E07000145","Aged 0 to 15",17435
"E07000145","Aged 16 to 64",59239
"E07000145","Aged 65+",19740
"E07000146","Aged 0 to 15",25129
"E07000146","Aged 16 to 64",88532
"E07000146","Aged 65+",32767
"E07000147","Aged 0 to 15",14839
"E07000147","Aged 16 to 64",57577
"E07000147","Aged 65+",28140
"E07000148","Aged 0 to 15",21071
"E07000148","Aged 16 to 64",88893
"E07000148","Aged 65+",19255
"E07000149","Aged 0 to 15",21514
"E07000149","Aged 16 to 64",73663
"E07000149","Aged 65+",25311
"E07000200","Aged 0 to 15",16183
"E07000200","Aged 16 to 64",53364
"E07000200","Aged 65+",17864
"E07000202","Aged 0 to 15",25043
"E07000202","Aged 16 to 64",84805
"E07000202","Aged 65+",19472
"E07000203","Aged 0 to 15",17680
"E07000203","Aged 16 to 64",59160
"E07000203","Aged 65+",18410
"E07000240","Aged 0 to 15",29364
"E07000240","Aged 16 to 64",87509
"E07000240","Aged 65+",20985
"E07000241","Aged 0 to 15",20076
"E07000241","Aged 16 to 64",71582
"E07000241","Aged 65+",16776
"E07000242","Aged 0 to 15",27311
"E07000242","Aged 16 to 64",88197
"E07000242","Aged 65+",20472
"E07000243","Aged 0 to 15",16791
"E07000243","Aged 16 to 64",53896
"E07000243","Aged 65+",11566
"E07000244","Aged 0 to 15",42226
"E07000244","Aged 16 to 64",143227
"E07000244","Aged 65+",54424
"E07000245","Aged 0 to 15",31030
"E07000245","Aged 16 to 64",106210
"E07000245","Aged 65+",29085
"E09000001","Aged 0 to 15",573
"E09000001","Aged 16 to 64",5859
"E09000001","Aged 65+",1040
"E09000002","Aged 0 to 15",45629
"E09000002","Aged 16 to 64",112268
"E09000002","Aged 65+",19683
"E09000003","Aged 0 to 15",71549
"E09000003","Aged 16 to 64",228299
"E09000003","Aged 65+",45981
"E09000004","Aged 0 to 15",46787
"E09000004","Aged 16 to 64",144957
"E09000004","Aged 65+",36402
"E09000005","Aged 0 to 15",60265
"E09000005","Aged 16 to 64",205932
"E09000005","Aged 65+",31921
"E09000006","Aged 0 to 15",60293
"E09000006","Aged 16 to 64",195637
"E09000006","Aged 65+",50994
"E09000007","Aged 0 to 15",34605
"E09000007","Aged 16 to 64",155710
"E09000007","Aged 65+",22609
"E09000008","Aged 0 to 15",75526
"E09000008","Aged 16 to 64",233756
"E09000008","Aged 65+",43481
"E09000009","Aged 0 to 15",66179
"E09000009","Aged 16 to 64",228430
"E09000009","Aged 65+",35357
"E09000010","Aged 0 to 15",67198
"E09000010","Aged 16 to 64",196899
"E09000010","Aged 65+",37874
"E09000011","Aged 0 to 15",52890
"E09000011","Aged 16 to 64",165065
"E09000011","Aged 65+",25717
"E09000012","Aged 0 to 15",50101
"E09000012","Aged 16 to 64",169139
"E09000012","Aged 65+",17382
"E09000013","Aged 0 to 15",28953
"E09000013","Aged 16 to 64",134791
"E09000013","Aged 65+",16372
"E09000014","Aged 0 to 15",51215
"E09000014","Aged 16 to 64",176894
"E09000014","Aged 65+",21696
"E09000015","Aged 0 to 15",46881
"E09000015","Aged 16 to 64",154243
"E09000015","Aged 65+",32371
"E09000016","Aged 0 to 15",44443
"E09000016","Aged 16 to 64",148498
"E09000016","Aged 65+",41186
"E09000017","Aged 0 to 15",55583
"E09000017","Aged 16 to 64",175658
"E09000017","Aged 65+",34424
"E09000018","Aged 0 to 15",49116
"E09000018","Aged 16 to 64",168428
"E09000018","Aged 65+",25822
"E09000019","Aged 0 to 15",31988
"E09000019","Aged 16 to 64",147081
"E09000019","Aged 65+",17635
"E09000020","Aged 0 to 15",24851
"E09000020","Aged 16 to 64",117773
"E09000020","Aged 65+",19269
"E09000021","Aged 0 to 15",29262
"E09000021","Aged 16 to 64",108350
"E09000021","Aged 65+",19695
"E09000022","Aged 0 to 15",53428
"E09000022","Aged 16 to 64",217530
"E09000022","Aged 65+",23092
"E09000023","Aged 0 to 15",55456
"E09000023","Aged 16 to 64",189202
"E09000023","Aged 65+",25760
"E09000024","Aged 0 to 15",38094
"E09000024","Aged 16 to 64",137188
"E09000024","Aged 65+",22854
"E09000025","Aged 0 to 15",68477
"E09000025","Aged 16 to 64",197546
"E09000025","Aged 65+",20424
"E09000026","Aged 0 to 15",60205
"E09000026","Aged 16 to 64",177354
"E09000026","Aged 65+",32876
"E09000027","Aged 0 to 15",35546
"E09000027","Aged 16 to 64",124611
"E09000027","Aged 65+",24237
"E09000028","Aged 0 to 15",52614
"E09000028","Aged 16 to 64",205639
"E09000028","Aged 65+",22867
"E09000029","Aged 0 to 15",37773
"E09000029","Aged 16 to 64",123871
"E09000029","Aged 65+",26523
"E09000030","Aged 0 to 15",48176
"E09000030","Aged 16 to 64",176479
"E09000030","Aged 65+",15840
"E09000031","Aged 0 to 15",53254
"E09000031","Aged 16 to 64",169890
"E09000031","Aged 65+",24996
"E09000032","Aged 0 to 15",49093
"E09000032","Aged 16 to 64",223691
